명사,분류
THE,기관/단체
BOY,기관/단체
WHO,일반명사
LIVED,일반명사
Dursley,일반명사
number,일반명사
Privet Drive,인물
thank,일반명사
people,일반명사
anything,일반명사
hold,일반명사
nonsense,일반명사
Mr. Dursley,인물
director,일반명사
firm,일반명사
Grunnings,인물
drills,일반명사
man,일반명사
neck,일반명사
mustache,일반명사
Dursley,인물
blonde,일반명사
amount,일반명사
neck,일반명사
time,일반명사
craning,일반명사
garden,일반명사
fences,일반명사
neighbors,일반명사
Dursley,기관/단체
son,일반명사
Dudley,인물
opinion,일반명사
finer,일반명사
Dursleys,기관/단체
everything,일반명사
fear,일반명사
somebody,일반명사
anyone,일반명사
Potters,기관/단체
Potter,인물
Dursley,인물
sister,일반명사
Page,인물
Harry Potter,인물
Philosophers Stone,기관/단체
Rowling,일반명사
years,일반명사
fact,일반명사
Dursley,인물
sister,일반명사
sister,일반명사
husband,일반명사
unDursleyish,기관/단체
Dursleys,기관/단체
neighbors,일반명사
Potters,기관/단체
street,일반명사
Dursleys,기관/단체
Potters,기관/단체
son,일반명사
boy,일반명사
reason,일반명사
Potters,기관/단체
Dudley,인물
child,일반명사
Mr.,인물
Dursley,인물
dull,일반명사
gray,일반명사
Tuesday,일반명사
story,일반명사
nothing,일반명사
cloudy,일반명사
sky,일반명사
things,일반명사
country,일반명사
Mr. Dursley,인물
tie,일반명사
work,일반명사
Dursley,인물
screaming,일반명사
Dudley,인물
chair,일반명사
None,일반명사
owl,일반명사
flutter,일반명사
window,일반명사
Mr. Dursley,인물
briefcase,일반명사
Dursley,일반명사
cheek,일반명사
Dudley,인물
Dudley,인물
tantrum,일반명사
cereal,일반명사
walls,일반명사
tyke,일반명사
Mr. Dursley,인물
house,일반명사
car,일반명사
number,일반명사
drive,일반명사
corner,일반명사
street,일반명사
sign,일반명사
something,일반명사
cat,일반명사
map,일반명사
Mr. Dursley,인물
head,일반명사
cat,일반명사
corner,일반명사
Privet Drive,기관/단체
map,일반명사
sight,일반명사
trick,일반명사
light,일반명사
Mr. Dursley,인물
Page,기관/단체
Harry Potter,인물
Philosophers Stone,기관/단체
cat,일반명사
Mr. Dursley,인물
corner,일반명사
road,일반명사
cat,일반명사
mirror,일반명사
sign,일반명사
Privet Drive,인물
sign,일반명사
cats,일반명사
read,일반명사
maps,일반명사
signs,일반명사
Mr. Dursley,인물
shake,일반명사
cat,일반명사
mind,일반명사
town,일반명사
nothing,일반명사
order,일반명사
drills,일반명사
day,일반명사
edge,일반명사
town,일반명사
drills,일반명사
mind,일반명사
something,일반명사
morning,일반명사
traffic,일반명사
jam,일반명사
help,일반명사
lot,일반명사
people,일반명사
People,일반명사
cloaks,일반명사
Mr. Dursley,인물
people,일반명사
clothes,일반명사
getups,일반명사
people,일반명사
fashion,일반명사
fingers,일반명사
steering,일반명사
wheel,일반명사
eyes,일반명사
huddle,일반명사
weirdos,일반명사
Mr. Dursley,인물
couple,일반명사
man,일반명사
cloak,일반명사
nerve,일반명사
Mr. Dursley,인물
stunt,일반명사
people,일반명사
something,일반명사
traffic,일반명사
minutes,일반명사
Mr. Dursley,인물
Grunnings,기관/단체
parking,일반명사
lot,일반명사
mind,일반명사
drills,일반명사
Mr. Dursley,인물
back,일반명사
window,일반명사
office,일반명사
floor,일반명사
drills,일반명사
morning,일반명사
owls,일반명사
past,일반명사
daylight,일반명사
people,일반명사
street,일반명사
owl,일반명사
owl,일반명사
owl,일반명사
Mr. Dursley,인물
morning,일반명사
people,일반명사
telephone,일반명사
Page,인물
Harry Potter,인물
Philosophers Stone,기관/단체
Rowling,일반명사
calls,일반명사
bit,일반명사
mood,일반명사
lunchtime,일반명사
legs,일반명사
walk,일반명사
road,일반명사
bun,일반명사
bakery,일반명사
people,일반명사
cloaks,일반명사
group,일반명사
baker,일반명사
bunch,일반명사
collecting,일반명사
tin,일반명사
way,일반명사
doughnut,일반명사
bag,일반명사
words,일반명사
Potters,기관/단체
right,일반명사
son,일반명사
Harry,인물
Mr. Dursley,인물
Fear,인물
whisperers,일반명사
something,일반명사
road,일반명사
office,일반명사
secretary,일반명사
telephone,일반명사
home,일반명사
number,일반명사
mind,일반명사
receiver,일반명사
mustache,일반명사
Potter,인물
name,일반명사
lots,일반명사
people,일반명사
Potter,일반명사
son,일반명사
Harry,인물
Come,일반명사
nephew,일반명사
Harry,인물
boy,일반명사
Harvey,인물
Harold,기관/단체
point,일반명사
Dursley,인물
mention,일반명사
sister,일반명사
sister,일반명사
people,일반명사
cloaks,일반명사
Page,인물
Harry Potter,인물
Philosophers Stone,기관/단체
Rowling,일반명사
lot,일반명사
drills,일반명사
afternoon,일반명사
building,일반명사
clock,일반명사
someone,일반명사
door,일반명사
Sorry,인물
man,일반명사
seconds,일반명사
Mr. Dursley,인물
man,일반명사
violet,일반명사
cloak,일반명사
upset,일반명사
ground,일반명사
face,일반명사
split,일반명사
smile,일반명사
voice,일반명사
passersby,일반명사
stare,일반명사
Don,일반명사
sir,일반명사
nothing,일반명사
today,일반명사
Rejoice,일반명사
Muggles,인물
day,일반명사
man,일반명사
Mr. Dursley,인물
middle,일반명사
Mr. Dursley,인물
spot,일반명사
stranger,일반명사
Muggle,지명(국가/도시)
car,일반명사
home,일반명사
things,일반명사
approve,일반명사
imagination,일반명사
driveway,일반명사
number,일반명사
thing,일반명사
mood,일반명사
tabby,일반명사
cat,일반명사
morning,일반명사
garden,일반명사
wall,일반명사
markings,일반명사
eyes,일반명사
Shoo,일반명사
Mr. Dursley,인물
cat,일반명사
didn,일반명사
move,일반명사
look,일반명사
cat,일반명사
behavior,일반명사
Mr. Dursley,인물
Page,기관/단체
Harry Potter,인물
Philosophers Stone,기관/단체
Rowling,일반명사
house,일반명사
anything,일반명사
wife,일반명사
Dursley,인물
day,일반명사
dinner,일반명사
Next,일반명사
Door,일반명사
problems,일반명사
daughter,일반명사
Dudley,인물
word,일반명사
Won,일반명사
Mr. Dursley,인물
Dudley,인물
bed,일반명사
living,일반명사
room,일반명사
time,일반명사
report,일반명사
news,일반명사
nation,일반명사
owls,일반명사
today,일반명사
night,일반명사
daylight,일반명사
hundreds,일반명사
sightings,일반명사
birds,일반명사
direction,일반명사
sunrise,일반명사
Experts,일반명사
owls,일반명사
sleeping,일반명사
newscaster,일반명사
grin,일반명사
Jim McGuffin,인물
weather,일반명사
showers,일반명사
tonight,일반명사
Jim,인물
Well,일반명사
Ted,지명(국가/도시)
weatherman,일반명사
owls,일반명사
today,일반명사
Viewers,일반명사
Kent,인물
Yorkshire,인물
Dundee,지명(국가/도시)
rain,일반명사
yesterday,일반명사
ve,일반명사
downpour,일반명사
stars,일반명사
people,일반명사
Bonfire Night,인물
week,일반명사
folks,일반명사
night,일반명사
Mr. Dursley,인물
armchair,일반명사
stars,일반명사
Britain,지명(국가/도시)
Owls,일반명사
daylight,일반명사
people,일반명사
cloaks,일반명사
place,일반명사
whisper,일반명사
whisper,일반명사
Potters,기관/단체
Harry Potter,인물
Philosophers Stone,기관/단체
Rowling,일반명사
Dursley,인물
living,일반명사
room,일반명사
cups,일반명사
tea,일반명사
something,일반명사
throat,일반명사
Er,인물
Petunia,일반명사
heard,일반명사
sister,일반명사
Dursley,인물
sister,일반명사
No,일반명사
Funny,인물
stuff,일반명사
news,일반명사
Mr. Dursley,인물
Owls,일반명사
stars,일반명사
lot,일반명사
people,일반명사
town,일반명사
today,일반명사
So,일반명사
Dursley,일반명사
Well,일반명사
something,일반명사
Dursley,인물
tea,일반명사
lips,일반명사
Mr. Dursley,인물
name,일반명사
dare,일반명사
Their,일반명사
son,일반명사
Dudley,인물
age,일반명사
Dursley,일반명사
stiffly,일반명사
name,일반명사
Howard,인물
isn,일반명사
Harry,인물
Nasty,인물
name,일반명사
Oh,일반명사
Mr. Dursley,인물
heart,일반명사
sinking,일반명사
word,일반명사
subject,일반명사
upstairs,일반명사
bed,일반명사
Dursley,인물
bathroom,일반명사
Mr. Dursley,인물
