prev_word	original	tag	converted
the	Potters	NNP	Potter_Family
the	Potters	NNPS	Potter_Family
the	Potters	NNPS	Potter_Family
the	Potters	NNPS	Potter_Family
The	Potters	NNP	Potter_Family
the	Potters	NNPS	Potter_Family
the	Potters	NNS	Potter_Family
the	Potters	NNPS	Potter_Family
The	Potters	NNPS	Potter_Family
the	Potters	NNPS	Potter_Family
the	Potters	NNP	Potter_Family
new	Gryffindors	NNPS	Gryffindor_Group
new	Gryffindors	NNS	Gryffindor_Group
the	Gryffindors	NNPS	Gryffindor_Group
first-year	Gryffindors	NNP	Gryffindor_Group
other	Gryffindors	NNP	Gryffindor_Group
the	Gryffindors	NNS	Gryffindor_Group
the	Gryffindors	NNP	Gryffindor_Group
the	Gryffindors	NNPS	Gryffindor_Group
The	Potters	NNPS	Potter_Family
the	Gryffindors	NNS	Gryffindor_Group
